,,,,,,Crop,Apple,,,,,,
Insect/Pest name,Crop Age (Days),Stage,Temp,,Humidity %,,Duration (hrs),Risk %,,,,,
,,,Min,Max,Min,Max,,,,,,,
San Jose Scale,March-10 April,vegetative,10,20,50,80,6--8,50,,,,,
San Jose Scale,11 April- 10 May,flowering ,15,25,50,85,6--10,65,,,,,
San Jose Scale,11 May- 15 Aug,Fruiting Stage,20,30,55,85,8--12,80,,,,,
San Jose Scale,16 Aug-Nov,harvesting stage,15,28,50,80,6--10,70,,,,,
Woolly Apple Aphid,March-10 April,vegetative,10,20,50,80,6--8,45,,,,,
Woolly Apple Aphid,11 April- 10 May,flowering ,15,25,55,85,6--10,65,,,,,
Woolly Apple Aphid,11 May- 15 Aug,Fruiting Stage,18,28,60,90,8--12,80,,,,,
Woolly Apple Aphid,16 Aug-Nov,harvesting stage,12,25,55,85,6--10,60,,,,,
European Red Mite,March-10 April,vegetative,10,20,40,75,6--8,40,,,,,
Woolly Apple Aphid,11 April- 10 May,flowering ,15,25,40,75,6--10,55,,,,,
Woolly Apple Aphid,11 May- 15 Aug,Fruiting Stage,20,32,35,70,8--12,80,,,,,
Woolly Apple Aphid,16 Aug-Nov,harvesting stage,15,28,40,75,6--10,60,,,,,
Codling Moth,March-10 April,vegetative,8,18,45,75,4--6,25,,,,,
Codling Moth,11 April- 10 May,flowering ,12,24,45,80,6--8,50,,,,,
Codling Moth,11 May- 15 Aug,Fruiting Stage,18,30,50,80,8--12,80,,,,,
Codling Moth,16 Aug-Nov,harvesting stage,15,28,45,75,6--10,65,,,,,
Apple Leaf Miner,March-10 April,vegetative,10,20,50,80,6--8,40,,,,,
Apple Leaf Miner,11 April- 10 May,flowering ,15,25,50,85,6--10,60,,,,,
Apple Leaf Miner,11 May- 15 Aug,Fruiting Stage,20,30,55,85,8--12,75,,,,,
Apple Leaf Miner,16 Aug-Nov,harvesting stage,15,28,50,85,6--10,55,,,,,
Apple Stem Borer,March-10 April,vegetative,10,20,45,75,6--8,30,,,,,
Apple Stem Borer,11 April- 10 May,flowering ,15,25,45,80,6--10,45,,,,,
Apple Stem Borer,11 May- 15 Aug,Fruiting Stage,20,32,45,85,8--12,70,,,,,
Apple Stem Borer,16 Aug-Nov,harvesting stage,15,28,45,80,6--10,60,,,,,
Aphids / Green Apple Aphid,March-10 April,vegetative,10,20,55,85,6--8,55,,,,,
Aphids / Green Apple Aphid,11 April- 10 May,flowering ,15,25,55,90,6--10,75,,,,,
Aphids / Green Apple Aphid,11 May- 15 Aug,Fruiting Stage,18,28,50,85,8--12,70,,,,,
Aphids / Green Apple Aphid,16 Aug-Nov,harvesting stage,10,24,50,80,6--8,40,,,,,
Tent Caterpillar / Defoliating Caterpillar,March-10 April,vegetative,10,20,50,80,6--8,50,,,,,
Tent Caterpillar / Defoliating Caterpillar,11 April- 10 May,flowering ,15,25,50,85,6--10,70,,,,,
Tent Caterpillar / Defoliating Caterpillar,11 May- 15 Aug,Fruiting Stage,20,30,55,85,8--12,75,,,,,
Tent Caterpillar / Defoliating Caterpillar,16 Aug-Nov,harvesting stage,15,28,50,80,6--10,50,,,,,
Thrips,March-10 April,vegetative,12,22,40,70,6--8,45,,,,,
Thrips,11 April- 10 May,flowering ,15,28,40,75,6--10,75,,,,,
Thrips,11 May- 15 Aug,Fruiting Stage,20,32,35,70,8--12,70,,,,,
Thrips,16 Aug-Nov,harvesting stage,15,28,40,75,6--8,40,,,,,
Fruit Fly,March-10 April,vegetative,10,20,50,75,4--6,15,,,,,
Fruit Fly,11 April- 10 May,flowering ,15,24,55,80,4--6,20,,,,,
Fruit Fly,11 May- 15 Aug,Fruiting Stage,20,30,60,90,6--10,50,,,,,
Fruit Fly,16 Aug-Nov,harvesting stage,18,28,60,90,8--12,75,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
